,"""Agents of S.H.I.E.L.D.""",In Your Eyes,Much Ado About Nothing,The Cabin in the Woods,"""Dollhouse""","""Dr. Horrible's Sing-Along Blog""","""Angel""","""Firefly""","""Buffy the Vampire Slayer"""
"Sternberg, Philip",0,0,0,0,0,0,0,1,0
"Monaghan, William",0,0,0,0,0,0,0,0,1
"Brewster, Chris (III)",1,0,0,0,0,0,0,0,0
"St. Esprit, Patrick",0,0,0,0,0,0,1,0,0
"Maclean, Lynne",0,0,0,0,0,0,1,0,0
"Verona, Michael Ross",0,0,0,0,0,0,0,0,1
"Newlight, Nina",0,0,1,0,0,0,0,0,0
"Rafalovich, Danita",0,0,1,0,0,0,0,0,0
"Guerra, Juan (I)",0,0,0,0,0,0,0,0,1
"Dorfman, Sara",0,0,1,0,0,0,0,0,0
"Vernier, Adam",0,0,0,0,0,0,1,0,0
"Dylan, Whitney",0,0,0,0,0,0,1,0,1
"Faulkner, Michael (II)",0,0,0,0,0,0,1,0,0
"Sarafyan, Angela",0,0,0,0,0,0,0,0,1
"Jones, Tank",0,0,0,0,1,0,0,0,0
"McMartin, Kathleen",0,0,0,0,0,0,1,0,0
"McElroy, Michael (I)",0,0,0,0,0,0,1,0,0
"Worthington, Wendy",0,0,0,0,0,0,0,0,1
"Richards, Larry (I)",0,0,0,0,0,0,1,0,0
"DeRelian, Steve",0,0,0,0,0,0,1,0,0
"Salem, Rabatan",0,0,0,0,0,0,0,1,0
"Törnquist, Elmer",1,0,0,0,0,0,0,0,0
"Scott, Wayne Alon",1,0,0,0,0,0,0,0,0
"Etuka, Paul Ginika",0,0,1,0,0,0,0,0,0
"Whedon, Jed",0,0,1,0,1,1,0,0,0
"Gray, Megan (I)",0,0,0,0,0,0,0,0,1
"Uhiara, Ony",0,0,1,0,0,0,0,0,0
"Grevioux, Kevin",0,0,0,0,0,0,1,0,0
"Middendorf, Tracy",0,0,0,0,0,0,1,0,0
"Orosco, Brian",1,0,0,0,0,0,0,0,0
"MacNicol, Peter",1,0,0,0,0,0,0,0,0
"Goldstein, Jonathan (I)",0,0,0,0,0,0,0,0,1
"Hanson, Michael (IV)",1,0,0,0,0,0,0,0,0
"Geiss, Louisette (I)",0,0,0,0,0,0,1,0,0
"Sexton, Brent",0,0,0,0,0,0,1,0,0
"Healy, Pat (I)",0,0,0,0,0,0,1,0,0
"Beyer, Tom (I)",0,0,0,0,0,0,1,0,0
"Vendrell, Michael M.",0,0,0,0,0,0,1,0,0
"Harte, Michael (I)",0,0,0,0,0,0,1,0,0
"Muirhead, Oliver",0,0,0,0,0,0,0,0,1
"Turk, Brian",0,0,0,0,0,0,0,0,1
"Naimi, Hani Al",1,0,0,0,0,0,0,0,0
"Towers, Robert (I)",0,0,0,0,0,0,1,0,0
"Osinski, Maximilian",1,0,0,0,0,0,0,0,0
"Langlois, Danielle",0,0,0,0,1,0,0,0,0
"Wellington, James",0,0,0,0,0,0,0,0,1
"Rosemont, Romy",0,0,1,0,0,0,0,0,0
"Terrell, Cedrick",0,0,0,0,0,0,1,0,0
"Newman, William (I)",0,0,0,0,0,0,1,0,0
"Crawford, Thomas (I)",0,0,0,0,0,0,1,0,0
"Pessis, Danielle",0,0,0,0,0,0,0,0,1
"LaMorte, Robia",0,0,0,0,0,0,1,0,1
"Sundius, Bo (II)",0,0,1,0,0,0,0,0,0
"Snow, Billy (I)",0,0,0,0,1,0,0,0,0
"Molina, Rolando (I)",0,0,0,0,0,0,0,1,0
"Moran, Sean (I)",0,0,0,0,0,0,0,0,1
"Onasch, Kim",0,0,0,0,0,0,0,1,0
"Callahan, E.J.",0,0,0,0,0,0,1,0,0
"George, Nick (IV)",0,0,0,0,1,0,0,0,0
"Long, Devan",1,0,0,0,0,0,0,0,0
"Luhr, Kate (I)",0,0,0,0,0,0,0,0,1
"Kirkland, Kelli",0,0,0,0,0,0,1,0,0
"van den Blink, Kieren",1,0,0,0,0,0,0,0,0
"Klingler, Rebecca",0,0,0,0,0,0,1,0,0
"Pipes, Leah",0,0,0,0,0,0,1,0,0
"Smyka, Natalie",1,0,0,0,0,0,0,0,0
"Baldwin, Adam (I)",0,0,0,0,0,0,1,1,0
"Guy, Joyce",0,0,0,0,0,0,0,0,1
"Mor, Ido",1,0,0,0,1,0,0,0,0
"Brawith, Garrett",0,0,0,0,0,0,0,0,1
"Wilson, Toby (II)",1,0,0,0,0,0,0,0,0
"Williams, Wade (II)",0,0,0,0,0,0,0,0,1
"Shalyganova, Olga",0,0,0,0,0,0,1,0,0
"Donshik, Adam",0,0,0,0,0,0,1,0,0
"Ruginis, Vyto",0,0,0,0,0,0,1,0,0
"Matheny, Eric (I)",0,0,0,0,0,0,0,0,1
"Smith, Sean (II)",0,0,0,0,0,0,1,0,0
"Ostrander, William",0,0,0,0,0,0,1,0,0
"Clark, Spencer Treat",1,0,1,0,0,0,0,0,0
"Vantskous, Marina",0,0,0,0,0,0,1,0,0
"Henry, Gregg",0,0,0,0,1,0,0,1,0
"Jackson, Price",0,0,0,0,0,0,0,0,1
"Felix, Kelly",0,0,0,0,0,0,0,0,1
"Tait, Marissa",0,0,0,0,0,0,1,0,0
"Winters, Time",0,0,0,0,0,0,0,0,1
"Williams, Chad (IV)",0,0,0,0,0,0,1,0,0
"Gifford, Adam",0,0,0,0,0,0,0,0,1
"Holmes, Adrian (I)",0,0,0,1,0,0,0,0,0
"Connolly, Kristen (II)",0,0,0,1,0,0,0,0,0
"Zumbrum, Harley",0,0,0,0,0,0,0,0,1
"Goins, Jesse D.",1,0,0,0,0,0,0,0,0
"Anthony, Derek (I)",0,0,0,0,0,0,1,0,1
"Morshower, Glenn",1,0,0,0,1,0,0,0,1
"Orsini, Kate",0,0,0,0,0,0,0,0,1
"Furukawa, Aya",0,0,0,1,0,0,0,0,0
"Chen, Terry (I)",0,0,0,1,0,0,0,0,0
"Nelson, Kirsten (I)",0,0,0,0,0,0,0,0,1
"Randall, Josh (I)",0,0,0,0,0,0,1,0,0
"Patil, Kavita",0,0,0,0,0,0,1,0,0
"Jemison, Kimble",0,0,0,0,0,0,1,0,0
"Amendola, Tony (I)",0,0,0,0,1,0,1,0,0
"Muller, Jeffrey",1,0,0,0,0,0,0,0,0
"Brown, Winsome",0,0,0,0,0,0,0,0,1
"Jacquin, Jeffrey",0,0,0,0,0,0,0,0,1
"Rabasa, Ruben",1,0,0,0,0,0,0,0,0
"Schaub, Marita",0,0,0,0,0,0,0,0,1
"Hiltz, Nichole",0,0,0,0,0,0,0,0,1
"Brooks, Richard (VI)",0,0,0,0,0,0,0,1,0
"Mair, Akeem",1,0,0,0,0,0,0,0,0
"Chiou, Tim",0,0,0,0,1,0,0,0,0
"Christopher, Linda (III)",0,0,0,0,0,0,0,0,1
"Braun, Tamara",0,0,0,0,0,0,0,0,1
"Gibbs, Nigel",0,0,0,0,0,0,1,0,0
"Birdsell, Lilli",0,0,0,0,0,0,1,0,0
"Miyata, Kelii",0,0,0,0,0,0,1,0,0
"Ng, Michael (III)",0,0,0,0,1,0,0,0,0
"Tilford, Terrell",1,0,0,0,0,0,0,0,0
"Porto, Lidia",1,0,0,0,0,0,0,0,0
"Gross, Brian (I)",0,0,0,0,0,0,0,0,1
"Abbott, Christie",0,0,0,0,0,0,0,0,1
"Donovan, Kelly (I)",0,0,0,0,0,0,0,0,1
"Imai, Abbey",0,0,0,1,0,0,0,0,0
"Cocacevich, Nicole",0,0,0,0,0,0,1,0,0
"McCullough, Kimberly (I)",0,0,0,0,0,0,0,1,0
"Geare, Anne",0,0,1,0,0,0,0,0,0
"Nelson, Elimu",0,0,0,0,0,0,1,0,0
"Barton, J",0,0,0,0,0,0,0,0,1
"Marino, Ken",0,0,0,0,0,0,1,0,0
"Hutton, Rif",0,0,0,0,0,0,0,0,1
"King, Michael (XII)",0,0,0,0,1,0,0,0,0
"Johnson, Harry (I)",0,0,0,0,0,0,0,0,1
"Ayers, Sam",0,0,0,0,0,0,1,0,0
"Dalton, Brett (II)",1,0,0,0,0,0,0,0,0
"Kawamura, Kotoko",0,0,0,0,0,0,1,0,0
"Kerper, Charles M.",0,0,0,0,0,0,0,0,1
"Gurdas, Vikki",0,0,0,0,0,0,1,0,0
"Sarabia, Ric",1,0,0,0,0,0,1,0,0
"Van Horn, Sara",0,0,0,0,0,0,0,0,1
"Sifuentes, Kevin",1,0,0,0,0,0,0,0,0
"Lee, Julia (III)",0,0,0,0,0,0,1,0,1
"Stewart, Ewan (I)",0,0,1,0,0,0,0,0,0
"Taylor, Lindsay (I)",0,0,0,0,0,0,0,0,1
"Cyphers, Charles",0,0,0,0,0,0,0,0,1
"Takemoto, Ken",0,0,0,0,0,0,1,0,0
"Coates, Damien",1,0,0,0,0,0,0,0,0
"Stewart, McKay",1,0,0,0,0,0,0,0,0
"Friday, Bryan",0,0,0,0,0,0,0,0,1
"Maron, Nicki",0,0,1,0,0,0,0,0,0
"McCarthy, Bart (I)",0,0,0,0,0,0,1,0,0
"Chonacas, Katie",0,0,0,0,1,0,0,0,0
"Bonowicz, Brett Ryan",0,0,1,0,0,0,0,0,0
"Susman, Todd",0,0,0,0,0,0,1,0,0
"Klein, R. Martin",0,0,0,0,0,0,1,0,0
"Fathy, Charles",1,0,0,0,0,0,0,0,0
"Carpenter, Charisma",0,0,0,0,0,0,1,0,1
"Figlioli, David",0,0,0,0,0,0,1,0,0
"Mahan, Kerrigan",0,0,0,0,0,0,1,0,0
"Vongtama, Roy",0,0,0,0,1,0,0,0,0
"Phenicie, Michael",0,0,0,0,0,0,1,0,0
"Carrasco, Carlos (I)",0,0,0,0,0,0,1,0,0
"Maffitt, Noah",0,0,1,0,0,0,0,0,0
"Lurie, James",0,0,0,0,0,0,0,0,1
"Bodden, Alonzo",0,0,0,0,0,0,1,0,0
"Sterling, Maury",0,0,0,0,1,0,1,0,0
"McCaddin, Brie",0,0,0,0,0,0,0,0,1
"Jang, Steven",0,0,0,0,0,0,0,0,1
Judita,0,0,0,0,0,0,0,0,1
"Grier, Maureen",0,0,0,0,0,0,1,0,0
"Bowen, Andrew (I)",0,0,0,0,1,0,0,0,0
"Hopkins, Jake",0,1,0,0,0,0,0,0,0
"Bright, R. Emery",0,0,0,0,0,0,1,0,0
"Pasdar, Adrian",1,0,0,0,0,0,0,0,0
"Barnes, Dwayne",0,0,0,0,0,0,1,0,0
"Pomplun, Raquel",1,0,0,0,0,0,0,0,0
"Parker, Angel (I)",0,0,0,0,0,0,1,0,0
"Kim, Chase",1,0,0,0,1,0,0,0,0
"Mascarino, Pierrino",0,0,0,0,0,0,0,0,1
"Payne, Dan (I)",0,0,0,1,0,0,0,0,0
"Sossaman, Heather",0,0,0,0,0,0,0,0,1
"Stoneburner, Roger",0,0,0,0,0,0,1,0,0
"Lawlor, J. Patrick (I)",0,0,0,0,0,0,0,0,1
"Whinnery, Barbara",0,0,0,0,0,0,0,0,1
"Kyritsi, Catherine",0,0,1,0,0,0,0,0,0
Natalie (XVII),0,0,0,0,0,0,0,0,1
"Rees, Craig",0,0,0,0,0,0,1,0,0
"Macken, Tara",1,0,0,0,0,0,0,0,0
"Cornielle, Celestin",1,0,0,0,0,0,0,0,0
"Aks, Julia",1,0,0,0,0,0,0,0,0
"Campbell-Cobb, Astrea",1,0,0,0,0,0,0,0,0
"Jean, Norma (IV)",0,0,0,0,0,1,0,0,0
"Bullock, Gary",0,0,0,0,0,0,0,0,1
"Potter, Frank",0,0,0,0,0,0,1,0,0
"Harlan, Scott (I)",0,0,0,0,0,0,0,0,1
"Wen, Alice",1,0,0,0,0,0,0,0,0
"Ventresca, Vincent",0,0,0,0,1,0,0,0,0
"Mooney, Damian",0,0,0,0,0,0,0,0,1
"Kelly, Mark (V)",0,0,0,0,0,0,1,0,0
"Sago, Tony",0,0,0,0,0,0,0,0,1
"Costello, Shawnie",0,0,0,0,0,0,0,0,1
"Williams, Malika",0,0,1,0,0,0,0,0,0
"Lange, Eric (I)",0,0,0,0,0,0,1,1,0
"Gifford, Rick",1,0,0,0,0,0,0,0,0
"Schiavelli, Vincent",0,0,0,0,0,0,0,0,1
"Shank, Kaycee",0,0,0,0,0,0,0,0,1
"Lubatti, Henri",0,0,0,0,0,0,1,0,0
"James, Christopher (III)",0,0,0,0,0,0,0,0,1
"Quinn, Julie (I)",0,0,0,0,0,0,1,0,0
"Daddio, Addie",0,0,0,0,0,0,1,0,0
"Ostrow, Ron",0,0,0,0,0,0,0,1,0
"Moreno, Damien",1,0,0,0,0,0,0,0,0
"Rumnock, Bob",0,0,0,0,0,0,1,0,0
"McCracken, Bob",0,0,0,0,0,0,0,1,0
"Tate, Rod",0,0,0,0,0,0,1,0,0
"Missick, Dorian",0,0,0,0,0,0,0,0,1
"Chen, Alice (I)",1,0,0,0,0,0,0,0,0
"Neustaedter, Alex",1,0,0,0,0,0,0,0,0
"Lee, Mushond",0,0,0,0,0,0,1,0,0
"Christopher, Tyler (I)",0,0,0,0,0,0,1,0,0
"Maddox, Billy (I)",0,0,0,0,0,0,0,0,1
"Cassidy, Michael (VIII)",0,1,0,0,0,0,0,0,0
"Morasco, Tina",0,0,0,0,0,0,1,0,0
"Pere, Danan",0,0,0,0,0,0,1,0,0
"Davis, Carole (I)",0,0,0,0,0,0,1,0,0
"Barber, Clayton J.",0,0,0,0,0,0,0,0,1
"Lawless, Lucy",1,0,0,0,0,0,0,0,0
"Walia, Paull",0,0,0,0,0,0,0,0,1
"Marcell, Joseph",0,0,1,0,0,0,0,0,0
"Waterman, Maya",0,0,0,0,1,0,0,0,0
"Gorham, Christopher (I)",0,0,0,0,0,0,0,0,1
"De Caestecker, Iain",1,0,0,0,0,0,0,0,0
"Ross, Franc",0,0,0,0,0,0,0,1,1
"Cohen, Robyn (I)",0,0,0,0,0,0,1,0,0
"Murphy, Katherine (IV)",0,0,0,0,1,0,0,0,0
"Darby, Jacob",0,0,1,0,0,0,0,0,0
"Kim, Daniel Dae",0,0,0,0,0,0,1,0,0
"Husmann, Peter",0,0,0,0,0,0,0,0,1
"Kirkland, Ajgie",0,0,0,0,0,0,1,0,0
"Filippo, Fab",0,0,0,0,0,0,0,0,1
"Gann, Chris",0,0,0,0,1,0,0,0,0
"
",1,1,1,1,1,1,1,1,1
"Daly, Neil (II)",0,0,0,0,0,0,0,0,1
"Suggs, Dawn",0,0,0,0,0,0,1,0,0
"Degen, Tess",0,1,0,0,0,0,0,0,0
"Hilario, Ramon",1,0,0,0,0,0,0,0,0
"Larson, Eric (II)",0,0,0,0,0,0,1,0,0
"Yebba, Michael",0,1,0,0,0,0,0,0,0
"Massar, Maya",0,0,0,1,0,0,0,0,0
"Hart, Angie (I)",0,0,0,0,0,0,0,1,1
"Catrini, Robert",0,0,0,0,0,0,0,0,1
"Zlabinger, Michael",0,0,0,0,0,0,0,0,1
"Capodice, John",0,0,0,0,0,0,1,0,0
"York, Jessica (II)",0,0,0,0,1,0,0,0,0
"Ferrell, Conchata",0,0,0,0,0,0,0,0,1
"Fremont, John",0,0,0,0,0,0,1,0,0
"Van Zyl, Debbie",0,0,1,0,0,0,0,0,0
"Scott II, Thom",0,0,0,0,0,0,1,0,0
"Goode, Alex (I)",1,0,0,0,0,0,0,0,0
"Tien, Kimberly",0,0,1,0,0,0,0,0,0
"Shrewsbury, Jeff",0,0,0,0,0,0,0,0,1
"Johnson, Craig (IV)",1,0,0,0,0,0,0,0,0
"Edner, Ashley",0,0,0,0,0,0,1,0,0
"Campbell, Ray (III)",0,0,0,0,0,0,1,0,0
"Renner, Jeremy",0,0,0,0,0,0,1,0,0
"Choi, Kenneth",1,0,0,0,0,0,0,0,0
"Johnson, Anthony S.",0,0,0,0,0,0,0,0,1
"Song, Janet",0,0,0,0,0,0,1,0,0
"Garcia, Drea",0,0,1,0,0,0,0,0,0
"Utay, William",0,0,0,0,0,0,1,0,0
"Stephens, Heather (I)",0,0,0,0,0,0,1,0,0
"Fecht, Heidi",0,0,0,0,0,0,1,0,0
"Jereme, Tupelo",0,0,0,0,0,0,0,0,1
"Wilson, Daniel (I)",0,0,0,0,0,0,0,0,1
"Surmelis, Angelo",0,0,0,0,0,0,1,0,0
"Tompos, Doug",0,0,0,0,0,0,1,0,0
"Ruttan, Susan",0,0,0,0,0,0,0,0,1
"Garcia, Rick (I)",0,0,0,0,0,0,0,0,1
"Tucker, Karen (I)",0,0,0,0,0,0,1,0,0
"Feinberg, Ken",0,0,0,0,0,0,0,0,1
"Fletcher, Edward (I)",0,0,0,0,0,0,0,0,1
"Bacquie, Dwight",0,0,0,0,0,0,0,0,1
"Luckinbill, Thad",0,0,0,0,0,0,0,0,1
"Baker, Max (I)",0,0,0,0,0,0,1,0,0
"Baker, Jordan (I)",0,0,0,0,0,0,0,0,1
"Mahon, Sean",0,0,0,0,0,0,1,0,0
"Clerkin, John Patrick",0,0,0,0,0,0,1,0,1
"Keeble, Anne",0,0,0,0,0,0,0,0,1
"Oel, Sadin Thomas",0,0,1,0,0,0,0,0,0
"DiGiandomenico, Joe",0,0,0,0,0,0,0,0,1
"McCormick, Larry (I)",0,0,0,0,0,0,1,0,0
"Sullivan, Gail (I)",0,1,0,0,0,0,0,0,0
"Silverberg, Marc",0,0,0,0,0,0,0,0,1
"Mattson, Brie",1,0,0,0,0,0,0,0,0
"Castillo, Enrique (I)",0,0,0,0,0,0,1,0,0
"Stryker, Bradley",0,0,0,0,0,0,1,0,0
"Poth, Brian",0,0,0,0,0,0,0,0,1
"Way, Wendy",0,0,0,0,0,0,0,0,1
"Timmons, John (I)",0,0,0,0,0,0,0,0,1
"Anderson, Timothy (II)",0,0,0,0,0,0,0,0,1
"Healy, Christine (I)",0,0,0,0,0,0,0,0,1
"Green, Alla",0,0,0,0,1,0,0,0,0
"Mana, Camille",0,0,0,0,0,0,1,0,0
"Glick, Margie",0,0,1,0,0,0,0,0,0
"Cistaro, Anthony",0,0,0,0,0,0,1,0,0
"Chin, Tsai",1,0,0,0,0,0,0,0,0
"Busch, Adam",0,0,0,0,0,0,0,0,1
"Gutrecht, Paul",0,0,0,0,0,0,0,0,1
"McGinnis, Andrew",0,0,0,0,0,0,1,0,0
"Panabaker, Kay",0,0,0,0,0,0,1,0,0
"Marcott, Braeden",0,0,0,0,0,0,1,0,0
"Garson, Willie",0,0,0,0,0,0,0,0,1
"Hughes, Derek (IV)",0,0,0,0,0,0,1,0,0
"Chan, Liberte",1,0,0,0,0,0,0,0,0
"Pierce, Denney",1,0,0,0,0,0,1,0,0
"Kretchmer, Jennifer",0,0,0,0,1,0,0,0,0
"Howard, Jean Speegle",0,0,0,0,0,0,0,0,1
"Hickey, Tamara",0,1,0,0,0,0,0,0,0
"Soo, Taira",0,0,0,0,1,0,0,0,0
"Maccarrone, Anna Maria",0,0,0,0,0,0,0,0,1
"Weaver, Daniel (I)",0,0,0,0,0,0,0,0,1
"Wilbur, Cheyenne",0,0,0,0,0,0,1,0,0
"McClain, Gina (I)",0,0,0,0,0,0,1,0,0
"Skuby, Alex",0,0,0,0,0,0,1,0,1
"Bailey, Eion",0,0,0,0,0,0,0,0,1
"Gersten, Dennis",0,0,0,0,0,0,1,0,0
"Carpenter, Robert 'Duckie'",0,0,0,0,0,0,1,0,0
"Kirchner, Jaime Lee",0,0,0,0,1,0,0,0,0
"Elonzae, Brandon (I)",0,0,1,0,0,0,0,0,0
"Lee, David S. (I)",0,0,0,0,0,0,1,0,0
"Johnes, Alexandra",0,0,0,0,0,0,0,0,1
"Spanton, Daniel",0,0,0,0,0,0,0,0,1
"McDowell, Erik",0,0,0,0,1,0,0,0,0
"Xuereb, Emmanuel",0,0,0,0,0,0,0,0,1
"Ferguson, Thomas Michael",0,0,0,0,0,0,0,0,1
"Yulin, Harris",0,0,0,0,0,0,0,0,1
"Andres, Blaize",0,0,0,0,0,0,0,0,1
"Isyanov, Ravil",0,0,0,0,0,0,0,0,1
"Crawford, Clayne",0,0,0,0,0,0,0,0,1
"Mahon, John (I)",0,0,0,0,0,0,1,0,0
"Bamber, Jamie",0,0,0,0,1,0,0,0,0
"Niel, Lil Steve",0,0,0,0,0,0,1,0,0
"Glass, Troy",1,0,0,0,0,0,0,0,0
"Alvarez, Ryan (I)",0,0,0,0,0,0,1,0,0
"Niemi, Laura",0,0,0,0,0,0,0,1,0
"Lineburg, Stephi",0,0,0,0,0,0,1,0,0
"Conti, John David",0,0,0,0,0,0,1,0,0
"Ling, Julia",0,0,0,0,0,0,0,0,1
"Brennan, Patrick (VII)",1,0,0,0,0,0,0,0,0
"Claywell, Brett",0,0,0,0,1,0,0,0,0
"Johnson, Carl J.",0,0,0,0,0,0,0,0,1
"Lyon, Austin",1,0,0,0,0,0,0,0,0
"Hallett, Alisha",0,0,1,0,0,0,0,0,0
"Kelly, Josh (I)",0,0,0,0,1,0,0,0,0
"Ayub, Donovan",0,0,1,0,0,0,0,0,0
"Costello, Julie (I)",0,0,0,0,0,0,0,0,1
"Borem, Patrese",0,0,0,0,0,0,0,0,1
"Nandi, Ivo",1,0,0,0,0,0,0,0,0
"Tee, Brian",1,0,0,0,0,0,0,0,1
"Becker, Gerry",0,0,0,0,0,0,1,0,0
"Ferrigno Jr., Lou",1,0,0,0,0,0,0,0,0
"Woodside, D.B.",0,0,0,0,0,0,0,0,1
"Wiehl, Christopher",0,0,0,0,0,0,0,0,1
"Poitier, Damion",0,0,0,0,1,0,0,1,0
"Dotrice, Roy",0,0,0,0,0,0,1,0,0
"Marshall, Andy (I)",0,0,0,0,0,0,0,0,1
"McCarthy, Casey (I)",0,0,0,0,0,0,0,0,1
"Brooks, Mehcad",0,0,0,0,1,0,0,0,0
"Desai, Angel",0,0,0,0,1,0,0,0,0
"Devlin, Chris (I)",0,0,0,0,0,0,1,0,0
"Araskog, Julie",0,0,0,0,0,0,1,0,0
"Ferrara, Michelle (I)",0,0,0,0,0,0,0,0,1
"Tonarelli, Carmen Nicole",0,0,0,0,0,0,1,0,0
"Raider-Wexler, Victor",0,0,0,0,0,0,1,0,0
"Sutherland, Angus (I)",0,0,0,0,1,0,0,0,0
Ashanti (II),0,0,0,0,0,0,0,0,1
"Sadler, William (I)",1,0,0,0,0,0,0,0,0
"Ross, Justin Jon",0,0,0,0,0,0,0,0,1
"Taylor, Ash (I)",0,0,0,0,0,0,1,0,0
"DeZarn, Tim",0,0,0,1,0,0,0,0,0
"Cooper, Darin",0,0,0,0,0,0,1,0,0
"Malone, Jay",0,0,0,0,1,0,0,0,0
"Aubert, K.D. (I)",0,0,0,0,0,0,0,0,1
"Kushi, Blake",0,0,0,0,1,0,0,0,0
"Graziadei, Michael",1,0,0,0,0,0,0,0,0
"Star, Lei'lah",0,0,0,0,1,0,0,0,0
"Kalas, Brad",0,0,0,0,0,0,1,0,0
"Scott, Wayne Alan",1,0,0,0,0,0,0,0,0
"Kim, Jason (I)",0,0,0,0,0,0,1,0,0
"Celi, Ara",0,0,0,0,0,0,0,0,1
"Weber, Molly (II)",0,0,0,0,0,0,1,0,0
"Cox, Fanshen",0,0,0,0,0,0,1,0,0
"Spano, Nick",0,0,0,0,0,0,1,0,0
"Nicholas, William",0,0,1,0,0,0,0,0,0
"Lo, Alice",0,0,0,0,0,0,1,0,0
"Will, Kevin",0,0,0,0,1,0,1,1,0
"Tancharoen, Maurissa",0,0,1,0,1,1,0,0,0
"Allan, Keith (I)",0,0,0,0,0,0,0,0,1
"Etienne, Treva",0,0,0,0,0,0,1,0,0
"Welliver, Titus",1,0,0,0,0,0,0,0,0
"Green, Brandon Ford",1,0,0,0,0,0,0,0,0
"Turner, Brahman",0,0,0,0,0,0,1,0,0
"Mironowski, Tanya",0,0,0,0,0,0,0,0,1
"Spiridellis, Evan",0,0,1,0,0,0,0,0,0
"Hannigan, Alyson",0,0,0,0,0,0,1,0,1
"McDuffie, Janora",0,0,0,0,0,0,0,1,0
"Mosley, Shannon",1,0,0,0,0,0,0,0,0
"Belfi, Jordan",0,0,0,0,0,0,0,0,1
"Babcock, Todd",0,0,0,0,0,0,0,0,1
"Leal, Carlos (II)",1,0,0,0,0,0,0,0,0
"Travis, Stacey (I)",0,0,0,0,0,0,1,0,0
"Soper, Blake",0,0,0,0,0,0,0,0,1
"Wayne, Brendan",1,0,0,0,0,0,1,0,0
"Enoch, Carlton",0,0,0,0,0,0,1,0,0
"Kennedy, Jack (V)",1,0,0,0,0,0,0,0,0
"Grey, Jennifer",0,1,0,0,0,0,0,0,0
"Garnant, Chris",0,0,0,0,0,0,0,0,1
"Lehne, Fredric",0,0,0,0,0,0,0,1,0
"Lau, Jim (I)",0,0,0,0,0,0,0,1,1
"Stephens, James (I)",0,0,0,0,0,0,0,0,1
"Gilbert, Brett",0,0,0,0,0,0,1,0,0
"Grad, Rob",0,0,0,0,0,0,0,0,1
"Neme, Jenifer",1,0,0,0,0,0,0,0,0
"Brady, CJ",1,0,0,0,0,0,0,0,0
"Knight, Lily",0,0,0,0,0,0,0,0,1
"Yerrid, Victor",0,0,0,0,0,0,1,0,0
"Bakkedahl, Dan",0,0,0,0,1,0,0,0,0
"Glass, Ron (I)",1,0,0,0,0,0,0,1,0
"Hutchison III, James",1,0,0,0,0,0,0,0,0
"Dougherty, Charles (I)",0,0,0,0,1,0,0,0,0
"Stephenson, Bob (II)",1,0,0,0,0,0,0,0,0
"Post, Allison",0,0,1,0,0,0,0,0,0
"Lacovara, Paul",1,0,0,0,0,0,0,0,0
"Clarke, Melinda (I)",0,0,0,0,0,0,0,1,0
"McDonald, Rich (I)",0,0,0,0,1,0,0,0,0
"Par, Richard",1,0,0,0,0,0,0,0,0
"Place, Patricia",0,0,0,0,0,0,0,0,1
"Alexandra, Gloria",0,0,0,0,0,0,1,0,0
"Malloy, Krisanne",0,0,0,0,0,0,1,0,0
"Pietruszewski, Alan",0,0,0,0,1,0,0,0,0
"Greenwalt, David",0,0,0,0,0,0,1,0,0
"Klemow, Corey",0,0,0,0,0,0,1,0,0
"Bickerton, Melissa",1,0,0,0,0,0,0,0,0
"Peters, Robert (I)",0,0,0,0,0,0,1,0,0
"Bridges, Jordan (I)",0,0,0,0,1,0,0,0,0
"Bess, Daniel",0,0,0,0,0,0,0,1,0
"Scott, Kathryn Leigh",1,0,0,0,0,0,0,0,0
"Badger, Jennifer",0,0,0,0,0,0,1,0,0
"Josefy, T.J.",0,0,0,0,1,0,0,0,0
"Canipe, Ridge",0,0,0,0,0,0,1,0,0
"Corvera, Geo",1,0,0,0,0,0,0,0,0
"Margulis, Abigail",0,0,0,0,0,0,1,0,0
"Wood, Ashleigh Ann",0,0,0,0,0,0,0,0,1
"Casey, Dillon (I)",1,0,0,0,0,0,0,0,0
"Hodgin, Tim",0,0,0,0,0,0,0,0,1
"Zoe, Deborah",0,0,0,0,0,0,1,0,0
"Taylor, Lauren (XXXV)",0,0,1,0,0,0,0,0,0
"Frazier, Mandell",1,0,0,0,0,0,0,0,0
"Alvarez, Salvador (I)",0,0,1,0,0,0,0,0,0
"Rothenberg, David (X)",0,0,1,0,0,0,0,0,0
"Rosenfeld, John",0,0,0,0,0,0,0,0,1
"Gjokaj, Enver",0,0,0,0,1,0,0,0,0
"Davis, Lorin",0,0,0,0,0,0,0,0,1
"Clifford, Wendy",0,0,0,0,0,0,0,0,1
"Charnell, Karen",0,0,0,0,0,0,0,0,1
"Montoya, Kacey",1,0,0,0,0,0,0,0,0
"Sixteen, Nicki",0,0,0,0,0,0,1,0,0
"Janic, Adrienne (I)",0,0,0,0,0,0,1,0,0
"Ozaki, Eijiro",1,0,0,0,0,0,0,0,0
"Garvin, Brian Reed",0,0,0,0,0,0,1,0,0
"Daube, Joseph",0,0,0,0,0,0,0,0,1
"McGee, Gwen",0,0,0,0,0,0,1,0,0
"Wolfson, David (II)",0,0,0,0,0,0,1,0,0
"Hickey, Blair",0,0,0,0,0,0,1,0,0
